,station_name,installed_capacity,planned_capacity,winter_valley_18_19,winter_peak_18_19,summer_valley_18_19,summer_peak_18_19,winter_valley_16_17,winter_peak_16_17,summer_valley_16_17,summer_peak_16_17
9,Abbeyfeale,15,15,5.2,5.8,0.0,0.2,2.5,3.4,1.2,2.3
10,Abbeyfeale,5,5,2.2,3.0,0.0,0.0,2.5,3.4,1.2,2.3
11,Abbeyfeale,,,2.2,3.4,0.0,0.0,2.2,2.7,0.8,1.5
12,Abbeyfeale,,,1.6,2.4,0.0,0.0,1.6,1.6,0.8,1.5
13,Abbeyfeale,,,0.5,1.0,0.0,0.0,0.6,1.1,,
14,Abbeyfeale,,,0.0,0.0,0.0,0.0,0.0,0.0,,
15,Abbeyfeale,10,10,3.0,2.8,0.0,0.2,,,,
16,Abbeyfeale,,,3.0,3.2,0.7,1.3,1.4,1.9,0.5,1.4
17,Abbeyfeale,,,0.0,0.0,0.2,0.4,1.4,1.9,0.5,1.4
18,Abbeyfeale,,,0.8,0.7,0.3,0.5,,,,
19,Abbeyfeale,,,,,,,,,,
20,Abbeyfeale,,,1.7,1.7,0.2,0.4,,,,
21,Abbeyfeale,,,0.5,0.8,0.0,0.0,,,,
22,Abbeyland,20,20,9.7,11.0,2.8,8.0,9.4,10.7,2.6,7.9
23,Abbeyland,10,10,6.6,7.1,1.8,5.6,9.4,6.8,1.6,5.5
24,Abbeyland,,,6.4,7.0,1.9,5.5,6.4,6.8,1.7,5.5
25,Abbeyland,,,2.6,2.8,0.7,2.4,2.5,2.7,0.6,2.3
26,Abbeyland,,,2.9,2.6,0.8,2.3,2.9,2.5,0.8,2.5
27,Abbeyland,,,0.9,1.6,0.4,0.7,1.0,1.6,0.4,0.8
28,Abbeyland,10,10,3.1,3.9,1.0,2.3,0.0,3.9,1.0,2.4
29,Abbeyland,,,3.3,4.3,1.1,2.5,3.1,4.1,1.1,2.7
30,Abbeyland,,,1.3,1.9,0.5,1.2,1.4,2.2,0.5,1.1
31,Abbeyland,,,0.8,0.7,0.3,0.6,0.8,0.7,0.3,0.7
32,Abbeyland,,,1.2,1.6,0.3,0.8,0.9,1.2,0.3,0.9
33,Academy Street,20,20,12.7,17.4,0.0,0.0,11.9,16.4,4.5,9.6
34,Academy Street,5,5,3.4,5.2,0.0,0.0,3.0,4.7,1.4,2.4
35,Academy Street,,,3.2,5.4,0.0,0.0,3.1,5.1,,
36,Academy Street,,,2.2,3.7,0.0,0.0,1.7,2.7,,
37,Academy Street,,,0.0,0.0,0.0,0.0,0.6,0.9,,
38,Academy Street,,,1.0,1.8,0.0,0.0,0.8,1.5,,
39,Academy Street,5,5,3.4,5.1,0.0,0.0,3.1,4.7,1.4,2.5
40,Academy Street,,,3.5,4.8,0.0,0.0,2.8,4.1,,
41,Academy Street,,,2.2,2.8,0.0,0.0,1.8,2.4,,
42,Academy Street,,,1.3,2.0,0.0,0.0,1.0,1.7,,
43,Academy Street,,,5.9,7.1,0.0,0.0,5.8,7.0,1.8,4.8
44,Academy Street,10,10,,,,,,,,
45,Academy Street,,,6.1,7.3,0.0,0.0,5.8,6.8,,
46,Academy Street,,,1.7,1.7,0.0,0.0,1.6,1.5,,
47,Academy Street,,,1.0,1.2,0.0,0.0,0.9,1.2,,
48,Academy Street,,,2.2,3.5,0.0,0.0,2.0,3.5,,
49,Academy Street,,,,,,,,0.7,,
50,Academy Street,,,1.2,0.9,0.0,0.0,1.3,,,
51,Achill,5,5,2.0,2.6,1.4,1.8,,,,
52,Achill,5,5,2.0,2.6,1.4,1.8,,,,
53,Achill,,,2.1,2.6,1.4,1.8,1.9,2.7,1.4,1.9
54,Achill,,,1.5,1.8,1.0,1.2,1.4,1.9,1.0,1.2
55,Achill,,,0.6,0.8,0.4,0.6,0.6,0.8,0.5,0.7
56,Aghada,5,5,1.0,1.7,0.6,1.0,,,,
57,Aghada,5,5,1.0,1.7,0.6,1.0,,,,
58,Aghada,,,0.9,1.7,0.6,1.0,0.9,1.5,0.7,1.0
59,Aghada,,,0.9,1.7,0.6,1.0,0.9,1.5,0.7,1.0
60,Aghagad,10,9,2.1,3.2,0.9,1.4,1.5,2.6,0.7,1.5
61,Aghagad,5,4.5,1.1,1.6,0.4,0.7,0.7,1.3,0.4,0.7
62,Aghagad,5,4.5,1.1,1.6,0.4,0.7,0.7,1.3,0.4,0.7
63,Aghagad,,,2.3,3.4,0.9,1.8,1.9,3.1,0.9,1.8
64,Aghagad,,,0.5,1.1,0.4,0.6,0.5,0.9,0.4,0.5
65,Aghagad,,,0.5,0.9,0.2,0.4,0.5,0.8,0.2,0.5
66,Aghagad,,,1.3,1.5,0.4,0.9,0.9,1.3,0.4,0.8
67,Aghamore,7,5,2.4,3.5,0.9,1.6,2.3,2.7,0.8,1.7
68,Aghamore,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Aghamore,5,5,2.4,3.5,0.9,1.6,2.3,2.7,0.8,1.7
70,Aghamore,,,,,,,2.4,3.8,0.5,1.0
71,Aghamore,,,2.6,3.7,0.5,0.9,,,,
72,Aghamore,,,,,,,1.3,1.8,0.0,0.0
73,Aghamore,,,1.3,1.8,0.0,0.0,,,,
74,Aghamore,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Aghamore,,,,,,,1.2,2.0,0.5,1.0
76,Aghamore,,,1.3,1.9,0.5,0.9,,,,
77,Aghaway,,,,,,,,,,
78,Aghaway,,,,,,,,,,
79,Aghaway,T141∥T142,,,,,,,,,
80,Aghaway,,,,,,,,,,
81,Ahane,15,15,4.8,4.5,1.2,2.9,,,,
82,Ahane,15,15,4.8,4.5,1.2,2.9,,,,
83,Ahane,,,4.6,4.4,1.2,2.8,3.8,4.7,1.1,3.0
84,Ahane,,,0.9,1.5,0.4,0.6,0.9,1.6,0.4,0.7
85,Ahane,,,1.1,0.6,0.2,0.7,0.8,0.5,0.2,0.5
86,Ahane,,,0.7,0.5,0.2,0.6,1.0,0.9,0.2,0.8
87,Ahane,,,1.9,1.7,0.4,0.8,1.1,1.7,0.4,0.9
88,Ahane,,,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1
89,Airton,,,15.9,16.1,0.0,0.0,,,,
90,Airton,,,,,,,,,,
91,Airton,,,,,,,,,,
92,Airton,,,15.9,16.1,0.0,0.0,,,,
93,Analog,,,8.9,9.0,7.1,10.2,,,,
94,Analog,,,4.8,4.9,4.0,5.1,,,,
95,Analog,,,4.1,4.1,3.0,5.0,,,,
96,Annabella,,,1.2,1.2,1.5,0.0,,,,
97,Annabella,,,1.2,1.2,1.5,0.0,,,,
98,Ardfinnan,10,10,1.9,2.8,0.1,0.1,2.0,2.9,0.9,1.6
99,Ardfinnan,5,5,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0
100,Ardfinnan,,,0.1,0.1,0.1,0.1,0.1,0.1,,
101,Ardfinnan,,,0.1,0.1,0.1,0.1,0.1,0.1,,
102,Ardfinnan,5,5,1.8,2.7,0.0,0.0,2.0,2.8,0.9,1.6
103,Ardfinnan,,,2.0,3.0,0.0,0.0,2.2,3.0,,
104,Ardfinnan,,,1.1,1.7,0.0,0.0,1.3,1.6,,
105,Ardfinnan,,,0.9,1.3,0.0,0.0,0.9,1.3,,
106,Ardfinnan,,,0.0,0.0,0.0,0.0,,,,
107,Ardgeeha,20,20,6.7,7.8,2.8,5.9,6.8,8.3,3.2,6.8
108,Ardgeeha,10,10,6.7,7.8,2.8,5.9,3.4,4.2,1.6,3.4
109,Ardgeeha,,,6.4,7.3,2.5,5.6,6.9,8.8,3.3,6.9
110,Ardgeeha,,,2.3,2.5,0.6,1.8,2.3,2.6,0.5,1.8
111,Ardgeeha,,,1.3,1.5,0.4,1.1,1.4,1.8,0.4,1.0
112,Ardgeeha,,,1.7,1.9,1.1,1.7,,,,
113,Ardgeeha,,,1.1,1.4,0.5,1.0,1.7,1.9,0.9,1.7
114,Ardgeeha,,,0.0,0.0,0.0,0.0,1.6,2.5,1.5,2.3
115,Ardgeeha,10,10,0.0,0.0,0.0,0.0,3.4,4.2,1.6,3.4
116,Ardnacrusha,126,126,51.3,65.8,30.2,44.0,51.9,68.3,28.2,40.5
117,Ardnacrusha,63,63,17.3,23.3,9.3,11.4,19.9,27.9,9.4,15.4
118,Ardnacrusha,,,18.5,22.3,9.3,11.3,19.2,26.8,9.8,15.7
119,Ardnacrusha,,,0.0,0.0,2.1,0.0,4.3,6.5,2.0,3.6
120,Ardnacrusha,,,5.5,7.3,2.3,5.7,4.9,5.4,2.5,5.1
130,Ardnacrusha,,,6.6,6.3,1.7,0.5,3.9,6.6,1.7,2.4
131,Ardnacrusha,,,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.4
132,Ardnacrusha,,,3.2,5.1,1.3,2.6,2.9,4.4,1.9,3.0
133,Ardnacrusha,,,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0
134,Ardnacrusha,,,3.1,3.6,1.6,2.3,3.2,3.9,1.5,1.2
135,Ardnacrusha,,,34.0,42.5,20.9,32.6,32.0,40.5,18.8,25.1
136,Ardnacrusha,63,63,,,,,,,,
137,Ardnacrusha,,,34.0,42.5,21.3,32.6,32.0,40.5,18.6,25.2
138,Ardnacrusha,,,,,,,,,,
139,Ardnacrusha,,,0.0,0.0,0.0,3.6,0.3,0.2,0.0,0.0
140,Ardnacrusha,,,5.9,7.2,2.2,3.6,4.9,6.4,1.5,4.1
141,Ardnacrusha,,,9.3,13.0,3.6,6.7,9.4,13.8,3.4,6.7
142,Ardnacrusha,,,7.7,11.0,3.3,5.2,6.6,10.4,2.9,5.5
143,Ardnacrusha,,,11.1,11.1,12.3,13.5,10.8,9.6,10.8,8.9
144,Ardnagappary,31.5,31.5,0.0,0.0,0.0,0.0,,,,
145,Ardnagappary,31.5,31.5,0.0,0.0,0.0,0.0,,,,
146,Ardnagappary,,,0.0,0.0,0.0,0.0,,,,
147,Ardnagappary,,,0.0,0.0,0.0,0.0,,,,
148,Ardnaree,20,20,5.3,6.3,1.7,3.8,5.5,7.2,1.7,4.6
149,Ardnaree,10,10,2.9,3.0,0.8,2.1,2.7,2.9,0.9,2.3
150,Ardnaree,,,2.9,3.0,0.8,2.2,2.8,3.0,0.8,2.4
151,Ardnaree,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,Ardnaree,,,2.6,2.3,0.7,1.9,2.5,2.3,0.7,2.1
153,Ardnaree,,,0.4,0.7,0.1,0.3,0.4,0.7,0.1,0.3
154,Ardnaree,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,Ardnaree,10,10,2.3,3.4,0.9,1.7,2.7,4.3,0.8,2.3
156,Ardnaree,,,2.3,3.4,0.9,1.7,2.7,4.3,0.8,2.3
157,Ardnaree,,,0.6,0.9,0.2,0.4,0.5,0.9,0.2,0.4
158,Ardnaree,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,Ardnaree,,,0.5,0.6,0.2,0.4,0.6,0.6,0.2,0.5
160,Ardnaree,,,0.6,0.8,0.3,0.5,1.2,1.9,0.2,0.6
161,Ardnaree,,,0.5,0.9,0.2,0.4,0.5,0.9,0.2,0.8
162,Arigna,15,15,6.7,5.0,1.5,1.7,,,,
163,Arigna,15,15,6.7,5.0,1.5,1.7,,,,
164,Arigna,,,6.3,4.7,1.5,1.9,2.1,2.2,1.5,4.1
165,Arigna,,,0.7,1.0,0.4,0.5,0.7,1.0,0.4,0.5
166,Arigna,,,,,,,,,,
167,Arigna,,,2.7,2.7,1.1,1.2,2.4,2.8,1.0,2.2
168,Arigna,,,2.9,1.0,0.1,0.2,-1.0,-1.6,0.2,1.4
169,Arklow,63,56.7,24.8,29.7,9.6,17.9,21.5,28.4,5.4,11.8
170,Arklow,31.5,28.35,12.4,14.9,4.8,9.0,12.8,9.4,1.3,6.8
171,Arklow,31.5,28.35,12.4,14.9,4.8,9.0,8.8,19.0,4.0,5.1
172,Arklow,,,24.9,29.9,9.2,18.0,21.8,28.2,5.4,11.7
173,Arklow,,,12.6,15.4,3.5,6.0,6.6,8.1,2.6,5.3
174,Arklow,,,3.1,3.7,2.9,6.8,7.8,10.3,2.8,6.4
175,Arklow,,,7.1,8.8,2.8,5.2,5.8,7.3,0.0,0.0
176,Arklow,,,,,,,,,,
177,Arklow,,,2.1,2.0,0.0,0.0,1.6,2.6,0.0,0.0
178,Arklow,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,Arklow,,,,,,,,,,
180,Arklow,40,40,5.8,7.1,2.5,5.1,6.1,7.5,2.5,5.3
181,Arklow,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,Arklow,20,20,5.8,7.1,2.5,5.1,6.1,7.5,2.5,5.3
183,Arklow,,,5.8,7.3,2.3,5.2,5.9,7.7,2.3,5.2
184,Arklow,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,Arklow,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,Arklow,,,0.4,0.7,0.2,0.4,0.0,0.0,0.0,0.0
187,Arklow,,,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2
188,Arklow,,,1.1,1.7,0.5,0.9,0.9,1.6,0.6,0.8
189,Arklow,,,1.0,1.4,0.4,0.7,0.8,1.3,0.4,0.7
190,Arklow,,,0.0,0.0,0.0,0.0,0.1,0.1,0.2,1.0
191,Arklow,,,0.3,0.3,0.2,0.2,0.3,0.3,0.2,0.3
192,Arklow,,,2.7,3.0,0.8,2.7,3.5,4.1,0.9,2.3
193,Artane,40,40,10.1,15.1,3.6,7.3,9.6,15.2,3.5,7.7
194,Artane,20,20,4.9,6.8,1.8,3.7,4.7,6.8,1.7,3.9
195,Artane,,,4.8,6.5,1.8,3.8,4.6,6.7,1.8,4.0
196,Artane,,,1.2,1.7,0.4,0.9,1.2,1.8,0.4,1.0
197,Artane,,,0.9,1.2,0.3,0.7,0.9,1.3,0.3,0.8
198,Artane,,,1.4,2.2,0.5,1.1,1.4,2.2,0.5,1.0
199,Artane,,,1.3,1.4,0.5,1.1,1.2,1.4,0.5,1.2
200,Artane,20,20,5.3,8.3,1.8,3.6,4.8,8.4,1.8,3.8
201,Artane,,,5.2,8.1,1.9,3.7,4.6,8.3,1.8,3.8
202,Artane,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,Artane,,,1.0,1.8,0.4,0.7,0.8,1.9,0.3,0.7
204,Artane,,,0.7,1.3,0.3,0.5,0.7,1.3,0.3,0.5
205,Artane,,,1.0,1.6,0.4,0.7,0.9,1.7,0.3,0.7
206,Artane,,,0.2,0.2,0.0,0.2,0.2,0.2,0.0,0.2
207,Artane,,,1.1,1.3,0.4,0.8,1.0,1.3,0.3,0.8
208,Artane,,,1.2,1.9,0.5,0.8,1.1,2.0,0.5,0.9
209,Ashbourne,25,25,10.1,12.1,4.1,6.5,7.2,10.9,3.4,6.5
210,Ashbourne,15,15,7.3,8.4,2.2,2.8,4.0,9.6,2.1,3.8
211,Ashbourne,,,7.0,8.0,2.2,2.7,3.9,9.4,2.1,3.7
212,Ashbourne,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,Ashbourne,,,4.2,4.5,0.7,0.2,1.5,6.3,0.7,1.3
214,Ashbourne,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,Ashbourne,,,2.8,3.5,1.5,2.5,2.4,3.2,1.4,2.4
216,Ashbourne,10,10,2.8,3.8,1.9,3.7,3.3,1.2,1.3,2.7
217,Ashbourne,,,2.7,4.6,2.1,3.5,3.1,1.3,1.4,2.7
218,Ashbourne,,,0.0,0.7,0.3,0.2,0.4,0.8,0.2,0.3
219,Ashbourne,,,2.7,3.9,1.3,3.3,2.7,0.5,1.2,2.3
220,Ashbourne,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0
221,Askeaton,,,21.4,21.6,20.9,22.1,,,,
222,Askeaton,,,10.6,10.8,10.5,11.0,,,,
223,Askeaton,,,10.7,10.8,10.4,11.1,,,,
224,Athboy,12,10,3.5,4.9,1.7,2.4,3.6,4.9,1.0,2.4
225,Athboy,,,,,,,0.0,0.2,0.0,0.0
226,Athboy,2,0,0.0,0.0,0.0,0.0,,,,
227,Athboy,,,,,,,3.2,4.1,1.0,2.4
228,Athboy,5,5,3.2,4.3,1.0,2.4,,,,
229,Athboy,,,2.9,4.4,0.7,1.5,3.1,4.1,0.7,1.7
230,Athboy,,,0.9,1.4,0.0,0.0,0.9,1.3,0.0,0.0
231,Athboy,,,2.0,3.0,0.7,1.5,2.2,2.8,0.7,1.7
232,Athboy,5,5,0.3,0.6,0.7,0.0,0.4,0.6,0.0,0.0
233,Athboy,,,0.3,0.6,0.7,0.0,0.4,0.6,0.0,0.0
234,Athboy,,,0.3,0.6,0.7,0.0,0.4,0.6,0.0,0.0
235,Athenry,10,9,7.3,10.7,3.6,6.1,7.5,11.5,3.2,6.1
236,Athenry,5,4.5,3.7,5.3,1.8,3.0,3.7,5.7,1.5,3.0
237,Athenry,5,4.5,3.7,5.3,1.8,3.0,3.9,5.8,1.7,3.1
238,Athenry,,,7.4,10.8,3.7,6.2,7.6,11.7,3.2,6.2
239,Athenry,,,1.4,2.6,0.7,1.1,1.3,2.5,0.7,1.1
249,Athenry,,,6.6,6.3,1.7,0.5,3.9,6.6,1.7,2.4
250,Athenry,,,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.4
251,Athenry,,,3.2,5.1,1.3,2.6,2.9,4.4,1.9,3.0
252,Athenry,,,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0
253,Athenry,,,3.1,3.6,1.6,2.3,3.2,3.9,1.5,1.2
254,Athenry,,,34.0,42.5,20.9,32.6,32.0,40.5,18.8,25.1
255,Athenry,63,63,,,,,,,,
256,Athenry,,,34.0,42.5,21.3,32.6,32.0,40.5,18.6,25.2
257,Athenry,,,,,,,,,,
258,Athenry,,,0.0,0.0,0.0,3.6,0.3,0.2,0.0,0.0
259,Athenry,,,5.9,7.2,2.2,3.6,4.9,6.4,1.5,4.1
260,Athenry,,,9.3,13.0,3.6,6.7,9.4,13.8,3.4,6.7
261,Athenry,,,7.7,11.0,3.3,5.2,6.6,10.4,2.9,5.5
262,Athenry,,,11.1,11.1,12.3,13.5,10.8,9.6,10.8,8.9
263,Ardnagappary,31.5,31.5,0.0,0.0,0.0,0.0,,,,
264,Ardnagappary,31.5,31.5,0.0,0.0,0.0,0.0,,,,
265,Ardnagappary,,,0.0,0.0,0.0,0.0,,,,
266,Ardnagappary,,,0.0,0.0,0.0,0.0,,,,
267,Ardnaree,20,20,5.3,6.3,1.7,3.8,5.5,7.2,1.7,4.6
268,Ardnaree,10,10,2.9,3.0,0.8,2.1,2.7,2.9,0.9,2.3
269,Ardnaree,,,2.9,3.0,0.8,2.2,2.8,3.0,0.8,2.4
270,Ardnaree,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,Ardnaree,,,2.6,2.3,0.7,1.9,2.5,2.3,0.7,2.1
272,Ardnaree,,,0.4,0.7,0.1,0.3,0.4,0.7,0.1,0.3
273,Ardnaree,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,Ardnaree,10,10,2.3,3.4,0.9,1.7,2.7,4.3,0.8,2.3
275,Ardnaree,,,2.3,3.4,0.9,1.7,2.7,4.3,0.8,2.3
276,Ardnaree,,,0.6,0.9,0.2,0.4,0.5,0.9,0.2,0.4
277,Ardnaree,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,Ardnaree,,,0.5,0.6,0.2,0.4,0.6,0.6,0.2,0.5
279,Ardnaree,,,0.6,0.8,0.3,0.5,1.2,1.9,0.2,0.6
280,Ardnaree,,,0.5,0.9,0.2,0.4,0.5,0.9,0.2,0.8
281,Arigna,15,15,6.7,5.0,1.5,1.7,,,,
282,Arigna,15,15,6.7,5.0,1.5,1.7,,,,
283,Arigna,,,6.3,4.7,1.5,1.9,2.1,2.2,1.5,4.1
284,Arigna,,,0.7,1.0,0.4,0.5,0.7,1.0,0.4,0.5
285,Arigna,,,,,,,,,,
286,Arigna,,,2.7,2.7,1.1,1.2,2.4,2.8,1.0,2.2
287,Arigna,,,2.9,1.0,0.1,0.2,-1.0,-1.6,0.2,1.4
288,Arklow,63,56.7,24.8,29.7,9.6,17.9,21.5,28.4,5.4,11.8
289,Arklow,31.5,28.35,12.4,14.9,4.8,9.0,12.8,9.4,1.3,6.8
290,Arklow,31.5,28.35,12.4,14.9,4.8,9.0,8.8,19.0,4.0,5.1
291,Arklow,,,24.9,29.9,9.2,18.0,21.8,28.2,5.4,11.7
292,Arklow,,,12.6,15.4,3.5,6.0,6.6,8.1,2.6,5.3
293,Arklow,,,3.1,3.7,2.9,6.8,7.8,10.3,2.8,6.4
294,Arklow,,,7.1,8.8,2.8,5.2,5.8,7.3,0.0,0.0
295,Arklow,,,,,,,,,,
296,Arklow,,,2.1,2.0,0.0,0.0,1.6,2.6,0.0,0.0
297,Arklow,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,Arklow,,,,,,,,,,
299,Arklow,40,40,5.8,7.1,2.5,5.1,6.1,7.5,2.5,5.3
300,Arklow,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,Arklow,20,20,5.8,7.1,2.5,5.1,6.1,7.5,2.5,5.3
302,Arklow,,,5.8,7.3,2.3,5.2,5.9,7.7,2.3,5.2
303,Arklow,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,Arklow,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,Arklow,,,0.4,0.7,0.2,0.4,0.0,0.0,0.0,0.0
306,Arklow,,,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2
307,Arklow,,,1.1,1.7,0.5,0.9,0.9,1.6,0.6,0.8
308,Arklow,,,1.0,1.4,0.4,0.7,0.8,1.3,0.4,0.7
309,Arklow,,,0.0,0.0,0.0,0.0,0.1,0.1,0.2,1.0
310,Arklow,,,0.3,0.3,0.2,0.2,0.3,0.3,0.2,0.3
311,Arklow,,,2.7,3.0,0.8,2.7,3.5,4.1,0.9,2.3
312,Artane,40,40,10.1,15.1,3.6,7.3,9.6,15.2,3.5,7.7
313,Artane,20,20,4.9,6.8,1.8,3.7,4.7,6.8,1.7,3.9
314,Artane,,,4.8,6.5,1.8,3.8,4.6,6.7,1.8,4.0
315,Artane,,,1.2,1.7,0.4,0.9,1.2,1.8,0.4,1.0
316,Artane,,,0.9,1.2,0.3,0.7,0.9,1.3,0.3,0.8
317,Artane,,,1.4,2.2,0.5,1.1,1.4,2.2,0.5,1.0
318,Artane,,,1.3,1.4,0.5,1.1,1.2,1.4,0.5,1.2
319,Artane,20,20,5.3,8.3,1.8,3.6,4.8,8.4,1.8,3.8
320,Artane,,,5.2,8.1,1.9,3.7,4.6,8.3,1.8,3.8
321,Artane,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322,Artane,,,1.0,1.8,0.4,0.7,0.8,1.9,0.3,0.7
323,Artane,,,0.7,1.3,0.3,0.5,0.7,1.3,0.3,0.5
324,Artane,,,1.0,1.6,0.4,0.7,0.9,1.7,0.3,0.7
325,Artane,,,0.2,0.2,0.0,0.2,0.2,0.2,0.0,0.2
326,Artane,,,1.1,1.3,0.4,0.8,1.0,1.3,0.3,0.8
327,Artane,,,1.2,1.9,0.5,0.8,1.1,2.0,0.5,0.9
328,Ashbourne,25,25,10.1,12.1,4.1,6.5,7.2,10.9,3.4,6.5
329,Ashbourne,15,15,7.3,8.4,2.2,2.8,4.0,9.6,2.1,3.8
330,Ashbourne,,,7.0,8.0,2.2,2.7,3.9,9.4,2.1,3.7
331,Ashbourne,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
332,Ashbourne,,,4.2,4.5,0.7,0.2,1.5,6.3,0.7,1.3
333,Ashbourne,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
334,Ashbourne,,,2.8,3.5,1.5,2.5,2.4,3.2,1.4,2.4
335,Ashbourne,10,10,2.8,3.8,1.9,3.7,3.3,1.2,1.3,2.7
336,Ashbourne,,,2.7,4.6,2.1,3.5,3.1,1.3,1.4,2.7
337,Ashbourne,,,0.0,0.7,0.3,0.2,0.4,0.8,0.2,0.3
338,Ashbourne,,,2.7,3.9,1.3,3.3,2.7,0.5,1.2,2.3
339,Ashbourne,,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0
340,Askeaton,,,21.4,21.6,20.9,22.1,,,,
341,Askeaton,,,10.6,10.8,10.5,11.0,,,,
342,Askeaton,,,10.7,10.8,10.4,11.1,,,,
343,Athboy,12,10,3.5,4.9,1.7,2.4,3.6,4.9,1.0,2.4
344,Athboy,,,,,,,0.0,0.2,0.0,0.0
345,Athboy,2,0,0.0,0.0,0.0,0.0,,,,
346,Athboy,,,,,,,3.2,4.1,1.0,2.4
347,Athboy,5,5,3.2,4.3,1.0,2.4,,,,
348,Athboy,,,2.9,4.4,0.7,1.5,3.1,4.1,0.7,1.7
349,Athboy,,,0.9,1.4,0.0,0.0,0.9,1.3,0.0,0.0
350,Athboy,,,2.0,3.0,0.7,1.5,2.2,2.8,0.7,1.7
351,Athboy,5,5,0.3,0.6,0.7,0.0,0.4,0.6,0.0,0.0
352,Athboy,,,0.3,0.6,0.7,0.0,0.4,0.6,0.0,0.0
353,Athboy,,,0.3,0.6,0.7,0.0,0.4,0.6,0.0,0.0
354,Athenry,10,9,7.3,10.7,3.6,6.1,7.5,11.5,3.2,6.1
355,Athenry,5,4.5,3.7,5.3,1.8,3.0,3.7,5.7,1.5,3.0
356,Athenry,5,4.5,3.7,5.3,1.8,3.0,3.9,5.8,1.7,3.1
357,Athenry,,,7.4,10.8,3.7,6.2,7.6,11.7,3.2,6.2
358,Athenry,,,1.4,2.6,0.7,1.1,1.3,2.5,0.7,1.1
368,Athenry,,3.4,1.0,2.4,3.1,3.9,0.9,2.5,,
369,Athenry,,1.6,1.2,1.5,1.7,2.9,0.8,1.2,,
370,Athenry,,1.0,0.8,1.2,1.5,2.4,0.8,1.4,,
371,Athgarvan,"{5.27}
20",16.1,6.4,14.2,17.0,16.9,5.6,14.5,,
372,Athgarvan,10,6.2,2.8,5.7,6.5,6.6,2.5,5.6,,
373,Athgarvan,,6.2,2.9,5.7,6.5,6.6,2.5,5.6,,
374,Athgarvan,,3.3,2.1,3.5,3.6,3.8,1.8,3.3,,
375,Athgarvan,,3.0,0.7,2.3,2.9,2.8,0.7,2.3,,
376,Athgarvan,"{5.27}
10",10.0,3.6,8.6,10.4,10.3,3.1,8.9,,
377,Athgarvan,,9.9,3.5,8.5,10.4,10.3,3.1,8.9,,
378,Athgarvan,,2.9,1.6,2.7,3.1,3.3,1.2,2.8,,
379,Athgarvan,,2.6,0.8,2.3,2.7,3.1,0.8,2.3,,
380,Athgarvan,,2.3,0.7,1.1,2.3,1.9,0.7,1.5,,
381,Athgarvan,,2.2,0.4,2.4,2.2,2.1,0.4,2.3,,
382,Athgarvan,{5.27},,,,,,,,,
383,Athlone,"{10.08}
113.4",67.2,25.9,53.1,59.1,71.0,27.0,50.9,,
384,Athlone,56.7,33.6,12.9,26.6,29.6,35.6,13.6,25.5,,
385,Athlone,"{10.08}
56.7",33.6,12.9,26.6,29.5,35.4,13.5,25.4,,
386,Athlone,,67.0,26.7,52.6,60.2,72.5,27.8,50.9,,
387,Athlone,,0.0,5.0,10.2,8.9,10.0,3.2,7.1,,
388,Athlone,,19.1,5.3,6.5,2.6,4.0,1.2,2.0,,
389,Athlone,{4.90},6.7,1.9,3.9,12.2,14.6,8.7,13.5,,
